epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
1,128,tensorflow,CIFAR10,resnet101,97.865,33.426,30459.502,37.709,2.601,51.961,0.339,0.34,0.34,0.331,5085.163
1,128,tensorflow,CIFAR10,resnet152,99.7,36.78,32696.205,42.21,2.694,68.646,0.326,0.326,0.326,0.308,6844.006
1,128,tensorflow,CIFAR10,resnet50,78.51,33.25,26751.458,30.237,2.367,32.176,0.36,0.355,0.354,0.343,2526.138
1,128,tensorflow,CIFAR100,resnet101,100.788,37.873,31048.843,40.059,2.725,50.812,0.052,0.066,0.068,0.048,5121.24
1,128,tensorflow,CIFAR100,resnet152,103.704,34.841,32729.033,42.405,2.748,68.798,0.048,0.062,0.062,0.036,7134.628
1,128,tensorflow,CIFAR100,resnet50,82.306,34.518,26579.958,32.052,2.686,31.983,0.092,0.086,0.088,0.071,2632.393
1,128,tensorflow,SVHN,resnet101,107.235,36.261,31998.737,45.79,3.166,63.12,0.258,0.252,0.307,0.232,6768.673
1,128,tensorflow,SVHN,resnet152,113.634,37.616,33706.003,48.352,3.246,85.576,0.11,0.136,0.207,0.098,9724.343
1,128,tensorflow,SVHN,resnet50,88.565,33.714,27457.954,38.14,2.985,38.908,0.359,0.341,0.392,0.333,3445.887
1,256,tensorflow,CIFAR10,resnet101,78.937,33.306,30035.252,29.098,3.176,42.74,0.312,0.31,0.31,0.3,3373.767
1,256,tensorflow,CIFAR10,resnet152,82.753,34.833,31777.14,30.175,3.0,56.655,0.296,0.293,0.293,0.285,4688.371
1,256,tensorflow,CIFAR10,resnet50,73.213,33.375,24831.75,25.339,2.964,27.669,0.314,0.314,0.314,0.31,2025.73
1,256,tensorflow,CIFAR100,resnet101,78.54,35.739,29694.042,27.242,2.838,43.156,0.057,0.064,0.064,0.046,3389.472
1,256,tensorflow,CIFAR100,resnet152,79.148,32.687,31961.018,29.167,2.934,58.175,0.048,0.058,0.06,0.039,4604.435
1,256,tensorflow,CIFAR100,resnet50,72.427,34.487,26002.302,25.225,2.965,26.972,0.064,0.068,0.066,0.054,1953.501
1,256,tensorflow,SVHN,resnet101,87.783,34.196,29900.302,33.272,3.513,52.744,0.227,0.19,0.25,0.173,4630.027
1,256,tensorflow,SVHN,resnet152,91.375,34.288,32268.687,35.939,3.621,69.88,0.199,0.17,0.234,0.14,6385.285
1,256,tensorflow,SVHN,resnet50,79.341,33.833,25796.758,30.955,3.636,32.629,0.3,0.282,0.334,0.277,2588.817
1,32,tensorflow,CIFAR10,resnet101,97.213,34.454,33913.447,55.342,3.061,80.13,0.355,0.346,0.346,0.336,7789.678
1,32,tensorflow,CIFAR10,resnet152,100.457,34.964,35246.495,57.518,2.631,111.054,0.216,0.236,0.235,0.193,11156.152
1,32,tensorflow,CIFAR10,resnet50,86.472,33.018,30754.803,44.6,2.999,52.384,0.399,0.387,0.386,0.374,4529.749
1,32,tensorflow,CIFAR100,resnet101,98.132,34.76,33934.998,55.481,3.018,80.568,0.04,0.065,0.067,0.038,7906.299
1,32,tensorflow,CIFAR100,resnet152,96.532,34.15,35363.764,55.556,2.606,114.87,0.008,0.031,0.03,0.008,11088.631
1,32,tensorflow,CIFAR100,resnet50,87.847,32.601,30360.53,45.262,3.208,50.006,0.092,0.098,0.1,0.073,4392.877
1,32,tensorflow,SVHN,resnet101,102.864,36.291,34607.899,60.615,3.193,106.852,0.104,0.127,0.187,0.085,10991.224
1,32,tensorflow,SVHN,resnet152,105.336,35.558,35862.425,63.312,2.935,146.556,0.041,0.1,0.184,0.036,15437.623
1,32,tensorflow,SVHN,resnet50,73.043,30.5,22871.104,34.055,2.326,117.636,0.584,0.542,0.587,0.546,8592.486
1,64,tensorflow,CIFAR10,resnet101,91.152,35.585,31471.983,44.373,3.017,58.71,0.344,0.336,0.335,0.324,5351.534
1,64,tensorflow,CIFAR10,resnet152,96.166,34.076,33760.253,47.582,2.842,78.852,0.302,0.312,0.312,0.29,7582.881
1,64,tensorflow,CIFAR10,resnet50,80.778,33.363,28378.756,38.144,2.999,36.814,0.387,0.38,0.379,0.372,2973.761
1,64,tensorflow,CIFAR100,resnet101,92.591,33.776,32055.527,44.516,3.018,58.091,0.052,0.062,0.062,0.036,5378.704
1,64,tensorflow,CIFAR100,resnet152,95.292,33.468,33760.443,47.753,2.829,78.95,0.03,0.045,0.046,0.022,7523.303
1,64,tensorflow,CIFAR100,resnet50,81.193,32.03,27873.759,37.842,3.041,36.861,0.092,0.094,0.095,0.074,2992.855
1,64,tensorflow,SVHN,resnet101,99.084,33.439,32466.946,51.047,3.446,74.222,0.25,0.196,0.26,0.162,7354.213
1,64,tensorflow,SVHN,resnet152,105.325,35.679,34291.666,54.794,3.244,100.69,0.073,0.12,0.192,0.071,10605.174
1,64,tensorflow,SVHN,resnet50,86.596,33.594,29890.292,41.083,3.26,47.585,0.477,0.446,0.493,0.443,4120.671
2,128,tensorflow,CIFAR10,resnet101,166.027,40.299,38907.0,84.316,5.792,23.5,0.397,0.392,0.392,0.384,3901.634
2,128,tensorflow,CIFAR10,resnet152,183.81,45.891,38907.0,89.797,5.781,32.0,0.367,0.368,0.368,0.356,5881.92
2,128,tensorflow,CIFAR10,resnet50,154.948,38.652,38907.0,84.894,7.22,11.5,0.412,0.413,0.413,0.408,1781.902
2,128,tensorflow,CIFAR100,resnet101,180.294,45.341,38907.0,90.023,6.068,22.0,0.09,0.094,0.096,0.074,3966.468
2,128,tensorflow,CIFAR100,resnet152,181.374,42.837,38907.0,90.194,5.966,32.5,0.076,0.083,0.083,0.06,5894.655
2,128,tensorflow,CIFAR100,resnet50,162.585,40.455,38907.0,85.591,7.0,11.0,0.118,0.122,0.124,0.106,1788.435
2,128,tensorflow,SVHN,resnet101,174.695,43.362,38907.0,86.686,6.046,33.0,0.516,0.476,0.524,0.478,5764.935
2,128,tensorflow,SVHN,resnet152,173.753,45.117,38907.0,86.225,5.681,48.5,0.306,0.282,0.34,0.258,8427.02
2,128,tensorflow,SVHN,resnet50,155.712,39.478,38907.0,86.993,6.82,16.5,0.614,0.575,0.619,0.585,2569.248
2,256,tensorflow,CIFAR10,resnet101,157.659,39.395,38907.0,81.524,9.112,14.5,0.369,0.365,0.365,0.36,2286.056
2,256,tensorflow,CIFAR10,resnet152,161.067,41.017,38907.0,80.937,7.886,21.5,0.35,0.344,0.343,0.338,3462.94
2,256,tensorflow,CIFAR10,resnet50,169.712,39.232,38907.0,83.75,10.714,7.5,0.369,0.37,0.371,0.364,1272.84
2,256,tensorflow,CIFAR100,resnet101,162.783,41.786,38907.0,80.105,8.698,14.5,0.076,0.085,0.086,0.068,2360.353
2,256,tensorflow,CIFAR100,resnet152,147.336,38.387,38907.0,72.792,7.586,22.5,0.068,0.084,0.085,0.063,3315.06
2,256,tensorflow,CIFAR100,resnet50,169.959,39.982,38907.0,83.991,11.161,7.5,0.09,0.09,0.092,0.076,1274.692
2,256,tensorflow,SVHN,resnet101,162.438,40.436,38907.0,80.53,8.784,21.5,0.4,0.364,0.42,0.358,3492.417
2,256,tensorflow,SVHN,resnet152,161.674,40.608,38907.0,79.326,8.214,31.5,0.328,0.296,0.355,0.282,5092.731
2,256,tensorflow,SVHN,resnet50,171.197,39.773,38907.0,86.136,10.636,11.0,0.523,0.495,0.542,0.5,1883.167
2,32,tensorflow,CIFAR10,resnet101,130.618,38.066,38907.0,83.906,4.67,53.0,0.384,0.378,0.378,0.372,6922.754
2,32,tensorflow,CIFAR10,resnet152,130.863,38.449,38907.0,84.532,4.001,75.5,0.332,0.315,0.316,0.284,9880.156
2,32,tensorflow,CIFAR10,resnet50,127.425,36.732,38907.0,77.93,5.392,29.5,0.414,0.408,0.408,0.401,3759.038
2,32,tensorflow,CIFAR100,resnet101,133.381,38.481,38907.0,84.413,4.529,52.0,0.096,0.1,0.103,0.072,6935.812
2,32,tensorflow,CIFAR100,resnet152,126.366,37.254,38907.0,82.879,3.897,77.0,0.024,0.049,0.05,0.023,9730.182
2,32,tensorflow,CIFAR100,resnet50,127.04,35.933,38907.0,78.571,5.526,29.5,0.146,0.137,0.137,0.115,3747.68
2,32,tensorflow,SVHN,resnet101,129.783,39.549,38907.0,83.195,4.532,78.0,0.274,0.278,0.338,0.257,10123.074
2,32,tensorflow,SVHN,resnet152,130.807,37.919,38907.0,84.577,3.928,111.0,0.046,0.112,0.193,0.048,14519.577
2,32,tensorflow,SVHN,resnet50,123.191,36.674,38907.0,78.651,5.465,43.0,0.728,0.717,0.737,0.716,5297.213
2,64,tensorflow,CIFAR10,resnet101,146.161,40.759,38907.0,86.076,5.934,30.0,0.397,0.384,0.385,0.376,4384.83
2,64,tensorflow,CIFAR10,resnet152,145.001,39.535,38907.0,87.267,5.047,43.5,0.358,0.358,0.358,0.342,6307.544
2,64,tensorflow,CIFAR10,resnet50,139.248,37.875,38907.0,81.5,6.938,16.0,0.434,0.428,0.428,0.421,2227.968
2,64,tensorflow,CIFAR100,resnet101,146.664,39.05,38907.0,86.683,5.917,30.0,0.072,0.085,0.088,0.066,4399.92
2,64,tensorflow,CIFAR100,resnet152,140.69,38.932,38907.0,86.83,5.045,44.0,0.05,0.071,0.073,0.044,6190.36
2,64,tensorflow,CIFAR100,resnet50,135.811,36.531,38907.0,81.094,6.594,16.0,0.132,0.129,0.132,0.11,2172.976
2,64,tensorflow,SVHN,resnet101,143.987,38.33,38907.0,86.886,5.795,44.0,0.561,0.512,0.561,0.522,6335.428
2,64,tensorflow,SVHN,resnet152,145.786,40.722,38907.0,86.873,5.23,63.0,0.188,0.173,0.264,0.122,9184.518
2,64,tensorflow,SVHN,resnet50,129.109,37.799,38907.0,74.475,6.095,25.5,0.692,0.669,0.699,0.676,3292.28
3,128,tensorflow,CIFAR10,resnet101,170.01,42.008,38907.0,85.511,5.83,23.0,0.428,0.413,0.412,0.41,3910.23
3,128,tensorflow,CIFAR10,resnet152,176.937,48.375,38907.0,90.203,5.75,32.0,0.398,0.398,0.398,0.392,5661.984
3,128,tensorflow,CIFAR10,resnet50,154.396,39.701,38907.0,86.068,6.614,11.5,0.434,0.433,0.432,0.429,1775.554
3,128,tensorflow,CIFAR100,resnet101,182.132,47.019,38907.0,89.579,5.929,22.5,0.108,0.113,0.115,0.095,4097.97
3,128,tensorflow,CIFAR100,resnet152,179.162,44.637,38907.0,89.995,5.709,32.5,0.091,0.106,0.109,0.086,5822.765
3,128,tensorflow,CIFAR100,resnet50,166.246,42.117,38907.0,89.038,6.614,11.5,0.138,0.134,0.136,0.122,1911.829
3,128,tensorflow,SVHN,resnet101,173.34,44.561,38907.0,86.152,5.928,33.5,0.632,0.595,0.633,0.606,5806.89
3,128,tensorflow,SVHN,resnet152,177.782,46.437,38907.0,85.599,5.707,48.0,0.508,0.448,0.506,0.458,8533.536
3,128,tensorflow,SVHN,resnet50,155.577,40.765,38907.0,85.333,6.642,17.0,0.694,0.675,0.702,0.68,2644.809
3,256,tensorflow,CIFAR10,resnet101,160.929,41.0,38907.0,81.893,8.857,14.0,0.399,0.391,0.39,0.386,2253.006
3,256,tensorflow,CIFAR10,resnet152,164.454,42.619,38907.0,80.601,8.15,20.5,0.376,0.377,0.377,0.373,3371.307
3,256,tensorflow,CIFAR10,resnet50,166.875,40.357,38907.0,88.571,10.286,7.0,0.4,0.394,0.394,0.394,1168.125
3,256,tensorflow,CIFAR100,resnet101,167.167,43.071,38907.0,80.893,9.179,14.0,0.092,0.1,0.103,0.085,2340.338
3,256,tensorflow,CIFAR100,resnet152,150.406,39.84,38907.0,75.002,7.715,21.5,0.088,0.096,0.098,0.08,3233.729
3,256,tensorflow,CIFAR100,resnet50,161.948,40.625,38907.0,86.25,10.0,8.0,0.116,0.109,0.11,0.099,1295.584
3,256,tensorflow,SVHN,resnet101,163.395,41.976,38907.0,79.976,8.69,21.0,0.544,0.498,0.544,0.51,3431.295
3,256,tensorflow,SVHN,resnet152,163.922,41.967,38907.0,80.431,8.033,30.5,0.443,0.409,0.465,0.408,4999.621
3,256,tensorflow,SVHN,resnet50,172.634,41.35,38907.0,86.9,10.65,10.0,0.621,0.595,0.634,0.603,1726.34
3,32,tensorflow,CIFAR10,resnet101,129.722,39.462,38907.0,83.798,4.663,52.0,0.416,0.41,0.41,0.39,6745.544
3,32,tensorflow,CIFAR10,resnet152,131.371,39.151,38907.0,84.131,3.881,76.0,0.368,0.368,0.367,0.353,9984.196
3,32,tensorflow,CIFAR10,resnet50,126.139,37.521,38907.0,78.059,5.378,29.5,0.45,0.436,0.437,0.434,3721.1
3,32,tensorflow,CIFAR100,resnet101,131.831,38.914,38907.0,83.533,4.452,52.5,0.12,0.116,0.119,0.098,6921.128
3,32,tensorflow,CIFAR100,resnet152,126.22,37.363,38907.0,83.135,3.889,77.0,0.052,0.078,0.078,0.052,9718.94
3,32,tensorflow,CIFAR100,resnet50,124.858,36.696,38907.0,78.839,5.607,29.0,0.193,0.17,0.172,0.154,3620.882
3,32,tensorflow,SVHN,resnet101,129.682,39.929,38907.0,83.32,4.446,77.5,0.382,0.376,0.424,0.359,10050.355
3,32,tensorflow,SVHN,resnet152,131.689,38.986,38907.0,84.532,3.927,110.0,0.151,0.185,0.266,0.134,14485.79
3,32,tensorflow,SVHN,resnet50,125.758,37.297,38907.0,79.235,5.444,42.0,0.782,0.77,0.788,0.774,5281.836
3,64,tensorflow,CIFAR10,resnet101,144.439,41.733,38907.0,86.567,5.767,30.0,0.437,0.426,0.425,0.423,4333.17
3,64,tensorflow,CIFAR10,resnet152,145.739,40.64,38907.0,87.267,5.081,43.0,0.4,0.394,0.394,0.384,6266.777
3,64,tensorflow,CIFAR10,resnet50,135.993,38.64,38907.0,83.204,6.873,16.5,0.46,0.458,0.457,0.452,2243.884
