epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
1,128,pytorch,CIFAR10,resnet101,117.242,36.53,2083.4,47.092,18.388,20.371,0.314,0.292,0.293,0.277,2388.337
1,128,pytorch,CIFAR10,resnet152,132.639,37.365,2438.462,51.269,19.269,25.878,0.314,0.286,0.286,0.279,3432.432
1,128,pytorch,CIFAR10,resnet50,102.647,34.254,1678.268,33.42,13.379,14.594,0.33,0.314,0.315,0.298,1498.03
1,128,pytorch,CIFAR100,resnet101,121.966,36.69,2113.476,47.238,18.524,20.244,0.058,0.062,0.062,0.044,2469.08
1,128,pytorch,CIFAR100,resnet152,134.519,37.237,2519.931,49.442,18.595,27.122,0.053,0.058,0.058,0.039,3648.424
1,128,pytorch,CIFAR100,resnet50,100.6,34.054,1616.179,34.679,13.696,14.473,0.066,0.066,0.066,0.051,1455.984
1,128,pytorch,SVHN,resnet101,131.221,37.416,2292.472,49.812,19.925,28.106,0.218,0.164,0.213,0.144,3688.097
1,128,pytorch,SVHN,resnet152,134.491,38.094,2501.724,52.545,20.014,36.733,0.174,0.146,0.205,0.116,4940.258
1,128,pytorch,SVHN,resnet50,85.125,32.492,1283.282,28.574,11.801,28.746,0.227,0.211,0.257,0.188,2447.003
1,256,pytorch,CIFAR10,resnet101,119.826,38.11,2272.89,46.949,21.812,16.23,0.24,0.232,0.232,0.216,1944.776
1,256,pytorch,CIFAR10,resnet152,145.164,39.339,2918.489,55.604,24.614,19.86,0.238,0.236,0.236,0.217,2882.957
1,256,pytorch,CIFAR10,resnet50,104.816,35.814,1778.377,37.718,17.736,10.011,0.252,0.246,0.245,0.237,1049.313
1,256,pytorch,CIFAR100,resnet101,127.434,38.2,2297.338,46.54,21.575,16.189,0.03,0.028,0.029,0.022,2063.029
1,256,pytorch,CIFAR100,resnet152,145.781,39.35,2775.229,54.299,24.749,19.766,0.033,0.035,0.034,0.024,2881.507
1,256,pytorch,CIFAR100,resnet50,102.04,35.5,1802.0,36.545,17.136,10.644,0.04,0.038,0.038,0.029,1086.114
1,256,pytorch,SVHN,resnet101,139.421,38.956,2503.543,51.686,24.077,21.22,0.129,0.122,0.18,0.098,2958.514
1,256,pytorch,SVHN,resnet152,150.48,40.289,2905.134,55.528,24.96,27.38,0.116,0.11,0.179,0.077,4120.142
1,256,pytorch,SVHN,resnet50,76.308,32.05,1111.619,23.735,11.596,31.522,0.126,0.119,0.173,0.1,2405.381
1,32,pytorch,CIFAR10,resnet101,78.611,32.739,2148.639,35.678,6.854,59.942,0.39,0.354,0.353,0.342,4712.101
1,32,pytorch,CIFAR10,resnet152,73.722,31.85,2420.826,36.251,5.74,86.152,0.352,0.322,0.323,0.288,6351.298
1,32,pytorch,CIFAR10,resnet50,74.884,33.165,1764.035,31.691,8.218,36.302,0.4,0.362,0.363,0.347,2718.439
1,32,pytorch,CIFAR100,resnet101,86.86,33.096,2077.13,36.098,7.24,56.278,0.103,0.089,0.089,0.066,4888.307
1,32,pytorch,CIFAR100,resnet152,75.78,32.244,2416.729,36.586,5.785,83.914,0.073,0.077,0.079,0.05,6359.003
1,32,pytorch,CIFAR100,resnet50,77.741,32.641,1833.798,32.15,8.285,35.956,0.122,0.106,0.107,0.08,2795.255
1,32,pytorch,SVHN,resnet101,71.53,31.033,1757.49,27.453,5.428,113.52,0.236,0.239,0.291,0.219,8120.086
1,32,pytorch,SVHN,resnet152,82.48,32.627,2460.611,37.494,6.153,118.026,0.152,0.155,0.211,0.122,9734.784
1,32,pytorch,SVHN,resnet50,68.563,29.884,1311.889,22.522,6.193,83.836,0.522,0.441,0.487,0.438,5748.048
1,64,pytorch,CIFAR10,resnet101,116.124,34.452,2063.742,44.5,15.323,30.854,0.361,0.328,0.326,0.302,3582.89
1,64,pytorch,CIFAR10,resnet152,111.611,34.478,2304.152,43.102,13.752,45.846,0.314,0.312,0.311,0.278,5116.918
1,64,pytorch,CIFAR10,resnet50,92.242,32.687,1717.78,33.685,12.939,21.807,0.382,0.33,0.328,0.302,2011.521
1,64,pytorch,CIFAR100,resnet101,111.741,34.235,2060.235,41.441,14.029,33.918,0.066,0.076,0.077,0.05,3790.031
1,64,pytorch,CIFAR100,resnet152,116.343,35.066,2295.071,45.183,14.225,44.014,0.05,0.061,0.06,0.04,5120.721
1,64,pytorch,CIFAR100,resnet50,95.82,32.898,1727.762,36.106,13.934,21.062,0.092,0.084,0.084,0.062,2018.161
1,64,pytorch,SVHN,resnet101,114.539,34.957,2150.67,42.47,14.636,47.868,0.191,0.176,0.235,0.15,5482.753
1,64,pytorch,SVHN,resnet152,113.922,34.982,2361.445,44.167,14.211,65.296,0.16,0.145,0.206,0.109,7438.651
1,64,pytorch,SVHN,resnet50,98.014,32.792,1832.602,35.635,13.921,30.556,0.364,0.332,0.372,0.324,2994.916
2,128,pytorch,CIFAR10,resnet101,158.435,39.888,5687.0,62.205,25.08,15.0,0.368,0.361,0.363,0.35,2376.525
2,128,pytorch,CIFAR10,resnet152,163.1,41.185,5791.212,65.935,26.102,20.5,0.356,0.342,0.344,0.338,3343.55
2,128,pytorch,CIFAR10,resnet50,141.236,37.0,5250.444,52.667,23.722,9.0,0.4,0.393,0.394,0.385,1271.124
2,128,pytorch,CIFAR100,resnet101,162.484,40.107,5691.0,62.643,26.0,14.5,0.087,0.09,0.093,0.073,2356.018
2,128,pytorch,CIFAR100,resnet152,155.504,40.698,5929.0,63.468,24.227,21.5,0.081,0.088,0.089,0.068,3343.336
